gene,alias
ALB,PRO1341
ALB,ALB
ALCAM,CD166
ALCAM,MEMD
ALCAM,ALCAM
ABCD1,ABC42
ABCD1,ALD
ABCD1,ALDP
ABCD1,AMN
ABCD1,ABCD1
ALDH1A1,ALDC
ALDH1A1,ALDH-E1
ALDH1A1,ALDH1
ALDH1A1,ALDH11
ALDH1A1,HEL-9
ALDH1A1,HEL-S-53e
ALDH1A1,HEL12
ALDH1A1,PUMB1
ALDH1A1,RALDH1
ALDH1A1,ALDH1A1
ALDH2,ALDH-E2
ALDH2,ALDHI
ALDH2,ALDM
ALDH2,ALDH2
ALDH3A1,ALDH3
ALDH3A1,ALDHIII
ALDH3A1,ALDH3A1
ALDH1B1,ALDH5
ALDH1B1,ALDHX
ALDH1B1,ALDH1B1
ALDH1A3,ALDH1A6
ALDH1A3,ALDH6
ALDH1A3,MCOP8
ALDH1A3,RALDH3
ALDH1A3,ALDH1A3
ALDH3B1,ALDH4
ALDH3B1,ALDH7
ALDH3B1,ALDH3B1
ALDH3B2,ALDH8
ALDH3B2,ALDH3B2
ALDH9A1,ALDH4
ALDH9A1,ALDH7
ALDH9A1,ALDH9
ALDH9A1,E3
ALDH9A1,TMABA-DH
ALDH9A1,TMABADH
ALDH9A1,TMABALDH
ALDH9A1,ALDH9A1
ALDH3A2,ALDH10
ALDH3A2,FALDH
ALDH3A2,SLS
ALDH3A2,ALDH3A2
ABCD2,ABC39
ABCD2,ALDL1
ABCD2,ALDR
ABCD2,ALDRP
ABCD2,hALDR
ABCD2,ABCD2
ALDOA,ALDA
ALDOA,GSD12
ALDOA,HEL-S-87p
ALDOA,ALDOA
ALDOAP2,ALDOAP2
ALDOB,ALDB
ALDOB,ALDO2
ALDOB,ALDOB
ALDOC,ALDC
ALDOC,ALDOC
AKR1B1,ADR
AKR1B1,ALDR1
AKR1B1,ALR2
AKR1B1,AR
AKR1B1,AKR1B1
AKR1B1P2,ALDRP
AKR1B1P2,AKR1B1P2
ALK,CD246
ALK,NBLST3
ALK,ALK
ALOX12,12-LOX
ALOX12,12S-LOX
ALOX12,LOG12
ALOX12,ALOX12
ALOX5,5-LO
ALOX5,5-LOX
ALOX5,5LPG
ALOX5,LOG5
ALOX5,ALOX5
ALOX5AP,FLAP
ALOX5AP,ALOX5AP
ALOX12B,12R-LOX
ALOX12B,ARCI2
ALOX12B,ALOX12B
ALOX12P1,ALOX12P
ALOX12P1,ALOX12P1
ALOX12P2,ALOX12E
ALOX12P2,ALOX12P2
ALOX15,12-LOX
ALOX15,15-LOX
ALOX15,15-LOX-1
ALOX15,LOG15
ALOX15,ALOX15
ALOX15B,15-LOX-2
ALOX15B,ALOX15B
ALPI,IAP
ALPI,ALPI
ALPL,AP-TNAP
ALPL,APTNAP
ALPL,HOPS
ALPL,HPPA
ALPL,HPPC
ALPL,HPPI
ALPL,HPPO
ALPL,TNALP
ALPL,TNAP
ALPL,TNSALP
ALPL,ALPL
ALPP,ALP
ALPP,ALPI
ALPP,IAP
ALPP,PALP
ALPP,PLAP
ALPP,PLAP-1
ALPP,ALPP
ALPG,ALPPL
ALPG,ALPPL2
ALPG,GCAP
ALPG,ALPG
ALS3,ALS6
ALS3,ALS3
ALX3,FND
ALX3,FND1
ALX3,ALX3
AMBN,AI1F
AMBN,AMBN
AMBP,A1M
AMBP,EDC1
AMBP,HCP
AMBP,HI30
AMBP,IATIL
AMBP,ITI
AMBP,ITIL
AMBP,ITILC
AMBP,UTI
AMBP,AMBP
AMCN,AMC
AMCN,AMC1
AMCN,AMCN1
AMCN,AMCN
AMD1,ADOMETDC
AMD1,AMD
AMD1,SAMDC
